Company - ,"RELMADA THERAPEUTICS, INC."

Nominee,For,Withheld,Broker    Non-Votes,Total Votes,For %,Against %,URL
Ms. Jan Stern Reed,10696549,2082094,449239,15366751,--,--,--,https://www.sec.gov/Archives/edgar/data/1762303/000095017024069945/rcel-20240605.htm
Mr. Robert McNamara,10837227,1935886,454769,15366751,--,--,--,https://www.sec.gov/Archives/edgar/data/1762303/000095017024069945/rcel-20240605.htm
Mr. Cary Vance,10843117,1935084,449681,15366751,--,--,--,https://www.sec.gov/Archives/edgar/data/1762303/000095017024069945/rcel-20240605.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,10040922,2759325,427635,2138869,15366751,--,--,https://www.sec.gov/Archives/edgar/data/1762303/000095017024069945/rcel-20240605.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,10269125,2296661,662096,2138869,15366751,--,--,https://www.sec.gov/Archives/edgar/data/1762303/000095017024069945/rcel-20240605.htm

Company - ,PHX MINERALS INC.

For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL,
Lee M. Canaan,14554911,4259738,83428,27701661,--,--,--,https://www.sec.gov/Archives/edgar/data/315131/000095017024062137/phx-20240516.htm
Glen A. Brown,15234427,3580222,83428,27701661,--,--,--,https://www.sec.gov/Archives/edgar/data/315131/000095017024062137/phx-20240516.htm

For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL,
Totals,15083094,3700827,114156,27701661,--,--,--,https://www.sec.gov/Archives/edgar/data/315131/000095017024062137/phx-20240516.htm

For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL,
Totals,27016798,584642,100221,27701661,--,--,--,https://www.sec.gov/Archives/edgar/data/315131/000095017024062137/phx-20240516.htm
Totals,27016798,584642,100221,27701661,--,--,--,https://www.sec.gov/Archives/edgar/data/315131/000095017024062137/phx-20240516.htm
Totals,16289894,7901583,3510184,27701661,--,--,--,https://www.sec.gov/Archives/edgar/data/315131/000095017024062137/phx-20240516.htm

Company - ,"ACTINIUM PHARMACEUTICALS, INC."

Director,For,Withhold,Broker Non-Votes,Total Votes,For %,Against %,URL
Sandesh Seth,8009178,2395536,9319573,19724287,--,--,https://www.sec.gov/Archives/edgar/data/1388320/000121390024103498/ea0222950-8k_actinium.htm
Jeffrey W. Chell,6500964,3685528,9537795,19724287,--,--,https://www.sec.gov/Archives/edgar/data/1388320/000121390024103498/ea0222950-8k_actinium.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,18674565,819550,230172,N/A,19724287,--,--,https://www.sec.gov/Archives/edgar/data/1388320/000121390024103498/ea0222950-8k_actinium.htm

Company - ,"Kezar Life Sciences, Inc."

Nominee,Votes For,Votes Withheld,Broker Non-Votes,Total Votes,For %,Against %,URL
Christopher Kirk Ph.D.,34221909,12897306,14120365,61239580,--,--,https://www.sec.gov/Archives/edgar/data/1645666/000095017024076234/kzr-20240618.htm
John Fowler,33809463,13309752,14120365,61239580,--,--,https://www.sec.gov/Archives/edgar/data/1645666/000095017024076234/kzr-20240618.htm

Nominee,Votes For,Votes Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,19831332,27203746,84137,14120365,61239580,--,--,https://www.sec.gov/Archives/edgar/data/1645666/000095017024076234/kzr-20240618.htm

1 Year,For %,Against %,2 Years,3 Years,Abstain,Total Votes,URL
46911276,--,--,79026,78009,50904,47119215,https://www.sec.gov/Archives/edgar/data/1645666/000095017024076234/kzr-20240618.htm

Nominee,Votes For,Votes Against,Abstain,Total Votes,For %,Against %,URL
--,61107263,67863,64454,61239580,--,--,https://www.sec.gov/Archives/edgar/data/1645666/000095017024076234/kzr-20240618.htm

Nominee,Votes For,Votes Against,Abstain,Total Votes,For %,Against %,URL
--,60451331,680669,107580,61239580,--,--,https://www.sec.gov/Archives/edgar/data/1645666/000095017024076234/kzr-20240618.htm

Company - ,ModivCare Inc.

Name of Nominee,Votes For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
Todd J. Carter,11884412,236055,854,1071950,13193271,--,--,https://www.sec.gov/Archives/edgar/data/1220754/000122075424000045/prsc-20240611.htm
David A. Coulter,11731817,388575,929,1071950,13193271,--,--,https://www.sec.gov/Archives/edgar/data/1220754/000122075424000045/prsc-20240611.htm
Garth Graham,11849151,271322,848,1071950,13193271,--,--,https://www.sec.gov/Archives/edgar/data/1220754/000122075424000045/prsc-20240611.htm
